distributor_id,distributor,segment,company,new_customers_impact,repeat_customers_impact,requests_for_quotes_impact,months_purchased_impact,contract_renewals_impact,customer_retention_impact,order_value_impact,number_orders_impact,employees_impact
409105678297,Tiffany Burke,Segment 2,Walsh-Coleman,-971723.25,511019.44,-447644.0,434709.44,470694.88,-1137692.8,943797.5,212776.31,-440525.3
6902140241814,William Ross,Segment 5,Higgins LLC,-575612.4,-120457.91,307222.47,-276399.72,-1366479.2,-870047.5,147657.5,3616939.0,433322.12
9687568186479,Michael Bryant,Segment 4,Stark Group,684208.25,369490.12,-590066.94,1257355.9,714948.8,211545.6,-2736247.0,-561005.75,-160383.75
9279028755679,Richard French,Segment 4,"Rodriguez, Lewis and Merritt",81939.375,232747.75,965115.75,-1034341.0,-785961.1,-857791.44,285426.12,-4013457.5,-4855455.0
3136922806400,Kathleen Cummings,Segment 3,"Hudson, Gonzalez and Mcconnell",-3622326.0,-498315.94,-416257.38,2493478.8,559750.6,62753.125,-222855.58,2133020.8,1034325.06
1563120734310,Kevin Lawson,Segment 2,Nichols PLC,-4353002.0,-665104.7,79068.81,-281043.53,-1561127.4,-1047806.5,-252533.33,-3018744.0,-3300465.5
7269623877793,James Diaz MD,Segment 6,"Fisher, Reyes and Scott",-2720049.0,-385116.88,-1587234.4,-1623810.0,-1352105.5,23564.98,700904.4,-769470.06,-148722.38
2700623527325,Rebecca Wilson,Segment 3,Harrison and Sons,5538783.0,638398.06,3236349.8,-330620.28,2539048.5,114178.16,-1707820.8,-203325.88,472741.62
3683691823935,Ashley Rubio,Segment 3,Brown and Sons,-1107600.4,-342771.8,93460.14,480621.88,-102259.125,-4436.3203,305968.4,-869094.0,58738.125
4135293633874,Elizabeth Stone,Segment 4,"Harrison, Powell and Bass",3269473.8,-930592.94,929390.3,-343446.7,1448550.0,-646099.75,-1925413.2,-435970.75,777901.5
3604570217584,Jennifer Thomas,Segment 4,Moore Group,-3833704.8,-1890792.2,-984721.44,-414990.34,-360104.9,771108.0,4850623.0,1075057.8,2358265.0
2610180479213,Stephanie Mueller,Segment 5,"Parker, Holt and Smith",-799012.6,408469.4,-172561.81,429113.53,-10988.75,14813.0,608803.56,-338242.44,1317924.5
7888191097619,Jordan Lee,Segment 5,Scott and Sons,23958.875,345212.34,-221723.25,-234792.61,-120949.125,-71677.93,-6099.6875,-172093.19,-20692.812
1666864537794,Daniel Torres,Segment 5,Johnson Ltd,-2055731.8,-422301.56,-13862.6875,119352.64,-3624029.2,78022.19,482621.44,2989482.0,457496.75
641809061498,Elaine Rios,Segment 2,Vargas Group,-6308549.0,-767319.9,-289855.0,2479.5625,-101384.09,404361.56,-8579775.0,-1484301.0,941913.6
3024146005672,Micheal White,Segment 6,"Smith, Perez and Ramirez",-1249735.0,-414702.94,1140690.5,172995.56,1825310.8,-412501.28,-177238.48,485116.1,2784406.0
1933143754730,Paul Cline,Segment 3,"Rhodes, Turner and Arias",3525037.5,-550966.94,-12289.625,217717.34,1205280.4,-584084.9,-557673.0,-268581.38,69407.97
7900530526496,Monica Richards,Segment 5,Valencia-Fitzgerald,4045331.5,-638645.5,-51574.78,336781.6,-4664829.0,-401314.06,1126428.1,3899793.0,922106.75
2955546601335,Jack Perkins,Segment 2,"Ward, Griffin and Cook",2563156.5,-115169.92,170574.6,-207774.5,-3038363.8,-205968.56,-39387.75,-876765.6,43783.562
8653626899026,Mrs. Michele Phillips,Segment 2,"Johnson, Thornton and Miller",1121442.5,-795925.1,-163639.56,49954.78,364350.22,-180303.02,-1508107.0,-464380.7,-1113195.5
6796378963309,Mark Briggs,Segment 5,"Keith, Brown and Velez",2134878.5,-127714.914,-270234.53,252130.78,337229.75,-200540.97,935406.3,733027.8,-1620779.5
6186903061912,Gregory Avila MD,Segment 4,Palmer-Allen,-46872.75,-421294.1,141021.84,-468563.4,281769.56,-28067.934,40559.125,69589.03,-2474275.0
7364687135794,Kimberly Howell,Segment 5,Sanders-Ruiz,1545960.8,9473.785,-1010758.94,-12617.969,59439.375,-694690.5,73473.125,-160783.88,239954.62
2992757709313,Kaylee Sharp,Segment 3,Sullivan LLC,-2775855.0,-1137467.0,-2428056.8,-306897.12,-3156846.5,1826692.4,-2590282.8,2045618.8,-791561.44
5051532654389,Austin Eaton,Segment 6,Nixon-Lucero,1291091.5,-613282.9,886683.75,-417890.72,-1740296.6,1313.2422,1005583.7,2401653.5,-1189762.2
3373933702318,Anna Martinez,Segment 6,"Sharp, King and Robinson",-548099.0,-213476.78,942238.1,359997.4,354213.6,-387408.47,1551462.0,106714.31,2248905.5
3338607837475,David Thompson,Segment 2,Molina-Becker,-53468.5,364321.7,1200835.8,-176586.5,-97123.375,-50762.984,-53749.188,-563183.7,-325146.0
2138699586494,Dustin Moore,Segment 4,Brown Ltd,1760006.5,-352561.6,-1407081.8,108508.0,-416955.03,-447495.4,-741791.94,-3832.5,-979629.9
3758735113560,Troy Jones,Segment 1,Perry-Kennedy,-111235.34,-937157.5,-186262.47,92938.33,-1355175.0,401973.78,-2154467.2,-281789.7,-1615124.5
2952822419059,Michael Boyd,Segment 4,"Warren, Abbott and Cooper",3742085.0,238299.06,-191498.94,2180166.8,2025444.0,1162186.1,2075263.8,2292688.5,1510169.9
3791542075683,Margaret Mitchell,Segment 6,Williams PLC,-212731.5,831315.9,-854441.94,174899.81,-1700967.9,1129377.9,1932699.8,81735.94,-386993.4
6926276202280,Erica Morales,Segment 6,Lane Group,2093381.8,-886137.2,-656475.94,357898.3,-1396219.1,171662.34,-3279506.2,2182023.5,-123024.766
4969001898886,Alan Logan,Segment 6,"Murphy, Barron and Welch",1784631.1,-187128.16,-239940.88,1340065.2,-2475433.5,246974.28,1724927.2,1565779.8,2922947.5
9764211539919,Kristen Fletcher,Segment 2,"Mayer, Davis and Weiss",3627299.5,40714.03,1026397.0,712247.25,-137389.75,3173824.8,9845232.0,247247.53,5004464.0
7474680667052,Daniel Harris,Segment 5,"Ayala, Graham and Sanchez",493101.2,5108.133,22617.531,39089.688,-454659.75,154116.69,-34187.188,-43899.344,95770.5
7062071358469,Kevin Vaughn,Segment 2,Huffman-Mckenzie,1464520.6,770347.3,-135710.86,-94001.03,-464069.06,361414.8,-5408998.5,-274037.0,-2834172.5
821530022511,Walter Williamson Jr.,Segment 6,Rivera LLC,4010569.5,-249226.58,2043844.1,98112.21,-1970828.5,-566040.4,-258079.12,-2744106.0,-300979.5
6744740404233,Samantha Jackson,Segment 2,West Inc,754241.9,657918.25,-1744607.5,-205693.58,-3493559.0,276633.56,-8577.125,-397898.75,-1175314.2
3822066778061,Lisa Ramirez,Segment 6,Caldwell-Duncan,-5254230.0,111669.86,-1438003.5,-1980800.0,-3199710.5,395632.97,-937414.9,-3587500.5,-2360113.2
5300773576975,Julie Cook,Segment 5,Taylor Ltd,320745.88,122088.945,-153717.97,363750.06,-1216171.6,-203825.19,-1298835.6,-750781.8,2114349.5
9239226054721,Sarah Blackburn,Segment 5,"Reeves, Gallagher and Cannon",302530.06,268683.84,262516.34,833069.8,2100295.8,-587579.4,689637.7,-900111.0,-162072.0
3151742759712,Debra Armstrong,Segment 6,Shah PLC,-1870969.8,639104.94,1332963.5,-1066527.6,1759239.2,-151202.03,7994795.5,-2705258.0,3854658.2
8467819097188,Eric Crosby,Segment 5,"Joseph, Colon and Collier",1384002.6,-341953.7,199949.53,987950.5,-4195637.5,-513699.47,-674571.25,-1962771.0,-145670.12
3836775823233,Holly Bradley,Segment 4,"Jones, Torres and Chen",983024.75,-245948.81,-655485.56,-331869.53,-2699586.8,59025.72,-603725.8,-7180.875,208619.31
6597642364255,Donald Jimenez,Segment 6,Marsh Ltd,2185712.0,-63186.25,282149.6,374675.7,-74835.25,70907.414,950408.4,-443237.34,-1327289.0
7391549283188,Anne Reyes,Segment 4,Anderson and Sons,790142.2,691388.25,2753832.8,-109356.47,972235.4,31760.766,-7021.9375,-138000.56,2789210.0
727900381175,Ryan Cross,Segment 5,Oliver-Knight,-2463273.5,1257558.2,1152348.8,1315349.4,-2161331.8,737788.8,-277312.1,-3378929.8,-1646005.5
5250403169865,Curtis Collins,Segment 6,Nguyen-Washington,-3018584.5,290631.22,242842.55,517868.56,2022793.4,491390.66,1145931.4,-4017318.5,-2109093.0
8907782743090,Samuel Porter,Segment 3,Rush LLC,-1901461.8,-126488.14,152751.31,-739984.4,-546739.06,-1337372.9,-768219.4,450066.25,-188468.9
3295099688254,Kevin Wolfe,Segment 5,Taylor Ltd,-172623.25,242518.89,981399.6,1988306.8,-431600.8,-221360.38,-1352924.8,16627.75,-1322429.1
2295703746395,Rebecca Frazier,Segment 5,Mcneil Ltd,-2516721.0,431376.06,355513.8,-378068.7,-2023815.1,1530469.0,4858155.5,210787.25,1562174.0
7948971500828,Johnathan Byrd,Segment 4,Collins-Mcconnell,2158405.0,323447.7,-164782.12,-560454.06,1613949.6,-663807.6,-534411.1,-652560.4,2100138.0
2264725963417,Kelly Griffin,Segment 4,French Group,-3299676.0,392327.12,-1303956.4,-1718639.5,-5073210.0,-100885.8,861174.4,-5499908.0,709301.25
3505454949280,Mr. Joshua Duncan,Segment 4,"Mcdaniel, Henderson and Lee",4278963.0,839843.1,1593163.2,-1282.1328,1268497.0,327472.1,2267934.2,-233143.56,981697.94
7408539603472,Michael Stevens,Segment 5,"Hoffman, Pittman and Mckinney",-795746.25,425556.28,683908.2,633145.9,1198707.8,38129.625,893281.44,1033063.75,-46324.27
7647122492851,Nancy Morris,Segment 2,"Simon, Lester and Wong",327277.0,108922.2,-211135.44,-59882.844,-33818.0,-371440.16,-1202336.8,-563638.94,2292822.0
4296087588456,Kevin Norris,Segment 3,Powell Group,468905.5,459140.44,1275504.9,398796.97,314805.88,455612.94,-1404292.4,1694000.9,30982.625
3250615855183,Thomas Weaver,Segment 5,Harris and Sons,2159178.0,-1268457.1,965629.1,-732170.9,3707998.0,-583.0,338838.97,-123432.84,-757660.8
7396722594679,Larry Brown,Segment 5,Lewis PLC,-1570555.4,-85174.92,177244.81,-745418.9,103073.75,-23139.555,-228578.97,-795632.7,2266578.8
8055440650331,Stephen Hamilton,Segment 4,Meadows PLC,-1698976.2,-256014.55,1393482.2,448804.38,1382556.2,-46739.0,4716261.0,168915.34,3326158.5
7462869888220,Albert Smith,Segment 5,"Anderson, Stevens and Sullivan",-5441538.5,-334175.06,664833.9,62273.4,-2140814.0,-327796.12,-1140477.2,532032.4,327397.9
4449897803183,Jennifer George,Segment 4,Stewart-Robinson,-2377315.8,937570.0,170775.53,-77544.34,-3741073.0,273563.22,1223633.5,-316387.4,1267827.1
7462823013644,Steven Lucas,Segment 1,Palmer-Davis,4354748.0,203371.5,788259.0,12856.578,3598133.5,-727157.25,-1285164.9,-300108.0,830061.0
34641108146,Robert Ford,Segment 2,Smith-Todd,3002115.0,-392932.78,186574.17,282017.62,-1714547.0,-687041.6,4896837.0,1635507.2,-1112496.2
4784878091570,Deanna Jennings,Segment 6,Edwards-Wood,-156960.75,225362.9,230632.56,462376.8,2550698.0,806486.25,-4254348.0,-235081.1,-1886190.2
8690587858549,Wendy Garner,Segment 6,Banks-Vega,3039943.5,-116301.92,1410939.0,772976.7,333881.66,-1486568.8,-972222.4,-265.75,-1936359.0
3949408577851,Stephen Robinson,Segment 3,"Patterson, Ware and Marshall",761064.9,-118024.125,128907.49,-920070.2,-3239786.2,-50038.71,-11247.8125,-1529598.5,-141539.69
2903093666062,Nicholas Garcia,Segment 5,"Fuller, Mcintyre and Miller",-2427546.2,160458.44,52338.312,-689174.94,-516529.06,110269.56,496017.62,3040668.5,-929583.9
3692146495535,Taylor Smith,Segment 5,Blake-Cooper,-1126968.5,606278.44,2118169.2,72629.09,699452.44,-958559.25,-1423227.8,-251381.25,1602711.6
6035679675468,Brittany Jackson,Segment 3,Griffith-Doyle,-337695.0,371879.62,-1375058.6,228744.88,-1180516.4,-167682.94,952996.25,-82573.5,-2351514.0
7039914405888,Brittney Morrow,Segment 4,"Hill, King and Malone",5721269.5,-819196.75,-1141697.2,-373841.94,-3368602.5,-330125.28,-1550296.0,-1203075.0,1836186.1
7143614716066,Jonathan Christensen,Segment 5,Osborne-Rivera,-1483805.9,337315.53,385291.8,970160.0,1181700.5,-537742.06,3627651.2,192357.62,-645853.1
1931511606643,Mary Hicks,Segment 5,Weaver PLC,1635378.2,1365051.5,799150.0,589796.2,-2784657.5,738444.0,7015849.5,-2753557.8,754131.56
9024212902618,Samantha White,Segment 6,Lee-Clarke,-573078.25,-1476671.1,1095812.8,1080890.6,-1009951.25,-316381.78,2302951.0,875357.3,-2294859.8
4415674392911,Gina Ramirez,Segment 3,Dickerson-Lee,3397986.0,-530996.94,138940.25,-498267.53,2609328.2,-485041.38,4351316.0,2620417.8,2582005.0
9821602217945,Timothy Lopez,Segment 4,Rhodes Inc,272682.5,-63655.53,42474.562,-436193.1,-3713811.5,306916.12,-1592270.8,43485.625,1017176.56
2808874452684,Roy Carr,Segment 5,Jones-Peterson,853381.9,-696531.56,298925.2,109846.48,-147222.38,1017021.5,-148948.0,-416632.28,1617976.5
8889153092122,Lisa Arroyo,Segment 5,Johnson-Kim,1008468.5,-560013.1,-342599.62,523277.88,2408452.5,-118141.625,466654.72,-1501418.1,-766210.4
8282634477744,Brian Hernandez,Segment 6,Richardson Group,-139861.44,130735.62,-403179.62,263412.7,988900.5,66481.61,95271.375,30299.688,-577388.8
2591738795248,Jamie Adams,Segment 4,"Freeman, Gill and Goodwin",62381.625,-176691.64,45787.453,-1063751.5,-912739.4,-260853.6,1051829.1,-223904.03,1252125.2
6953440193884,Frank Price,Segment 5,"Tucker, Davis and Walter",-2681278.2,-341855.8,194940.56,79520.4,683656.4,141228.83,76873.94,286299.94,-458862.16
9226083399164,James Bauer,Segment 1,"Christian, Chang and Barnes",-1416631.0,617016.2,-150624.52,-611134.44,-1750680.8,-138075.98,364600.88,-2398545.2,1427158.6
783813437279,Martin Rowe,Segment 3,Smith PLC,-1302245.8,659030.3,354759.6,-1386830.8,-281876.7,-392545.47,-1145657.0,3393916.2,-287486.88
5949316836918,Marie Silva,Segment 3,"Harrison, Poole and Schroeder",646467.25,26390.258,-33845.0,-238490.2,2412364.5,303736.88,-1438695.0,16425.438,-2203021.5
8478557236326,Julia Schultz,Segment 3,Townsend PLC,904595.25,-165553.34,179573.38,-770181.75,-119411.25,-66024.734,-751349.0,-1139655.2,-74310.06
3694658310900,Mary Vaughan,Segment 5,"Garcia, Nolan and Wilcox",94656.625,-295976.53,-1745192.1,-40083.766,557288.06,-419860.38,-643658.5,4792597.0,-699764.1
792627776085,Crystal Zamora,Segment 5,Wheeler Inc,1692915.0,795162.0,848191.8,763957.1,3606570.8,2672687.8,-1097834.5,-1173228.9,-17813.625
6105964618460,Dawn Hutchinson,Segment 5,Parker-Webb,-4873033.0,-403618.8,-3919937.2,1110702.8,-1499105.6,140600.89,1363139.4,603314.56,714974.56
4146243132743,Nicholas Reeves,Segment 4,Davidson PLC,-330160.25,310196.2,-1640133.1,-741077.3,-1930568.1,105386.53,-914213.44,63024.75,-821102.06
891341364889,Samuel Taylor,Segment 2,Smith LLC,-2688278.8,474030.9,1814896.2,-430834.2,-3061432.5,-219537.64,-15851.9375,-534356.75,-99350.69
3999369319533,Barbara Allen,Segment 5,"Woods, Norris and Crosby",5960377.0,-644744.75,-381245.22,283009.3,1247323.9,-343792.84,1958897.0,2106832.2,-1059402.5
3604757116280,Kristopher Summers,Segment 2,Rodriguez-Leonard,-1918351.8,-222966.39,-625242.44,125847.5,-1179492.9,317586.12,-449663.4,3316536.5,738211.7
7489409535741,Timothy Brown,Segment 2,Davidson and Sons,-152261.06,636996.56,296523.2,392862.8,-255875.12,-35250.953,842774.1,437748.62,670641.6
3078745807212,Jacob Pacheco,Segment 5,Daniel-Banks,1465350.0,608887.75,399090.25,228087.94,710056.25,143985.52,567465.1,-30429.75,-570867.0
2291998825579,Priscilla Williams,Segment 3,Rich-Warren,-197799.0,129719.234,-232816.2,-153133.94,1206553.0,60581.68,-291660.25,-5016.875,2329801.2
7729041437790,Regina Davis,Segment 4,"Moss, Wright and Harvey",-2635006.0,-807307.6,20805.938,-432037.97,1911194.9,-150579.88,990699.94,-2107565.5,-122736.28
2423604388943,Matthew Green,Segment 5,Smith-Franklin,-4286180.0,-2001.7188,-1161919.4,-916908.1,-1426581.4,673120.8,168153.38,2224060.0,-1275203.1
9666906028947,Samantha Knight,Segment 5,Villanueva LLC,1711354.6,609.9219,1742707.5,-1068430.0,-1807242.6,-72564.11,-1835163.6,-128130.19,-396741.34
6121483721948,Emily Ingram,Segment 3,"Wilson, Dixon and Walker",2637312.2,29867.82,227161.77,-36244.207,3604390.8,-319151.94,63978.82,-319632.94,487491.66
2022689212442,Joshua Miller,Segment 4,"Butler, Lester and Campbell",618685.4,-85948.07,370642.44,127322.28,446347.88,-1280245.8,-2579134.5,-65079.594,-3915778.5
6671392093488,Daniel Moore,Segment 5,"Evans, Lewis and Cox",1071880.0,1018973.0,-763409.2,-3034.7188,348405.8,287033.62,-169130.5,-292292.5,-1144585.1
2851162980352,Julie Reyes,Segment 2,Rodriguez-Miranda,471784.38,-165355.02,110483.81,-1147665.5,-1013462.44,-1375680.5,-872592.4,-1501193.0,-435533.84
3306558976895,Kara Schwartz,Segment 5,"Nelson, Edwards and Frank",-755452.8,700081.56,-292003.03,384216.47,-849147.0,-68310.5,728145.4,-52233.03,1364123.5
5877137825555,Gregory Durham,Segment 6,Chan and Sons,5599864.0,-606760.56,673155.44,-857671.2,-2956702.5,943376.6,-904514.4,-485074.44,1142908.6
3326484991472,David Harrell,Segment 5,Baker-Young,2417342.5,291775.5,43014.86,990777.9,-1443828.6,164631.5,257922.78,-618126.75,875228.75
2696628669224,Andrew Hall,Segment 3,Ross Ltd,-286185.25,-10527.609,-248866.61,387615.75,1725543.2,-320657.7,-815668.4,999698.44,499172.94
9789428271735,Maria Wilson,Segment 6,Cochran-Pitts,-407565.88,-196823.84,-776626.5,-115819.28,-1773721.1,-152365.8,-217321.62,240062.75,-349958.0
4701201905632,Katherine Warren,Segment 2,Ross-Brooks,-2154490.2,194898.72,2982.5625,234260.44,-2933158.0,-391547.7,822764.1,802986.44,249021.03
8398463333585,Tony Turner,Segment 4,Mcgee-Powell,3087681.5,212513.5,-1260714.8,1536059.9,343561.88,1176244.4,1117426.0,3118722.2,-2673589.0
5499757391953,Daniel Hutchinson,Segment 3,"Robertson, Hill and Anderson",-5185065.0,646658.44,-58749.375,97165.53,-145776.94,734638.4,234724.69,242676.19,-337387.44
6061260692521,Teresa Miller,Segment 4,Ryan-Hernandez,1581439.2,55693.86,1416236.4,632503.75,-1707833.4,-86721.016,-190279.58,-2716455.0,663271.0
3011218476294,Kelsey Colon,Segment 4,Phelps Group,240886.38,-27793.61,247623.4,-191468.14,-918167.1,190921.08,50176.938,-75729.28,459522.44
2395479336131,Phyllis Paul,Segment 6,Foley PLC,-466720.5,1491202.6,-619342.0,283956.7,95203.375,-691440.94,6050352.5,-166648.97,-874079.9
6013692705461,Terry Knight,Segment 4,Wilson Ltd,581460.75,105109.266,-1048773.2,-363750.16,-1176381.1,-14904.281,-1581286.5,29552.688,450383.06
8283924260565,Eric Miller,Segment 3,Perez-Norris,1445313.1,87860.875,473465.12,67879.61,-2669058.2,-926525.75,-1621836.8,-2176155.2,-1543500.5
2112818710168,Amy Morris,Segment 5,Holt-Steele,3598452.0,1046649.0,898813.44,1523809.4,2726896.5,-1147384.5,-62180.93,2797819.2,5683044.0
2329688008275,Michael Arnold,Segment 3,"Lynch, Rodriguez and Jones",2989330.5,9235.199,1166754.6,115453.625,512650.16,908175.75,83305.19,-267271.94,-1191504.8
2496420102895,David Myers,Segment 4,Banks PLC,509638.12,56104.156,36730.22,-718677.6,330926.75,-181022.92,876114.2,-2531727.2,-421438.22
898336013289,Jessica Zimmerman,Segment 4,"Diaz, Harvey and Merritt",10687331.0,1454251.0,3135935.8,-140024.66,3032519.0,1201436.0,807124.44,-1200621.5,1159560.4
779397355221,Mary Campos,Segment 6,Love-Atkinson,-14810.375,-308019.9,488803.03,-429961.78,324543.03,-159007.42,-59706.305,-2132683.0,-1660191.8
8668776677516,Danny Monroe,Segment 4,"Smith, Mejia and Nichols",4613625.0,-522407.2,457857.44,-551480.0,-1216026.1,1089086.0,1394608.0,775345.6,-2637486.2
5558032097444,Ann Bell,Segment 4,Holland PLC,6240527.0,-159881.88,3290984.8,2707794.0,-753348.1,256671.86,-1663995.8,-404490.7,-380228.94
680715835526,Wesley Simmons MD,Segment 3,"Cook, Lewis and Thomas",-1151382.1,-387340.38,327408.94,431797.34,-3877961.5,-151908.84,-849468.6,-3500000.5,-887923.6
2769867084285,Brianna Rodriguez,Segment 6,"Kelly, Davis and Clark",9285608.0,637969.2,3865015.8,5137736.5,1986002.2,1218379.8,-829107.4,-2953316.2,1408530.9
6844661065695,Alexis Stephens,Segment 5,Rivera-Shannon,2010138.0,-804780.25,-1917415.8,171051.33,1384936.6,-1630225.1,-262176.72,1596548.0,-740411.75
5559659709949,Casey Harris,Segment 5,Salazar Ltd,-2008268.2,-91976.85,-758425.4,-390394.88,-141461.44,125874.58,-966410.9,315440.25,1716248.4
5099755001825,Stephanie Mann,Segment 6,Herrera Group,1367450.9,220887.44,-389922.44,493385.34,-1360951.1,-997925.9,-1431386.0,-132700.81,947109.0
187387682392,Barbara Garcia,Segment 4,Jackson-Greene,1440770.9,-492264.6,934097.56,1182665.1,2186551.2,1824792.9,7544653.5,-51954.375,2932577.2
7295594267042,April Schmidt,Segment 4,"James, Watson and Green",816619.4,384620.25,-158510.78,3280205.5,-350615.38,90012.5,-505829.25,163783.75,1015086.75
5410817359256,Lindsay White,Segment 6,Burke PLC,564332.4,168060.58,-235780.62,-94576.47,-286590.44,193748.27,-710621.8,27367.875,-1028884.94
3453244513282,Sandra Ferguson,Segment 4,"Woods, Nelson and Walker",-2175863.8,99644.8,1006257.1,-1555015.1,2699636.5,-494093.44,1247220.4,-87800.875,1069195.5
4351738507078,Christopher Fernandez,Segment 5,"Hooper, Boyd and Anderson",-1453791.6,-441801.44,1042871.7,519729.75,704980.5,20540.61,9360.0625,-836235.6,-935963.2
8103158691532,Kevin Alexander,Segment 6,Roberts PLC,2577715.5,259687.58,633100.3,271826.88,-907453.5,-140017.34,148031.06,3835952.8,-357596.5
6673258436248,Melinda Allison,Segment 1,"Fuentes, Long and Todd",326351.88,163644.62,562114.6,-138803.17,-1183238.5,477456.75,-1076236.5,75395.56,323608.06
9897246443262,James Macias,Segment 6,Jones PLC,-1337960.4,-161370.69,329523.88,946973.4,1236531.1,14029.0,585239.0,2475546.5,181038.62
5249041704149,Nicole Webb,Segment 5,Andrade LLC,3976279.5,1228256.0,1244000.4,718441.8,4642352.0,47151.39,1558929.4,187479.75,982758.44
486785661139,Alexander Clark,Segment 6,Martinez-Galloway,-4500668.5,1125249.4,2225681.5,80708.375,-1581326.6,110816.3,551743.75,180513.69,830443.9
508744102801,Louis Rodgers,Segment 3,Moore-Graham,1936506.5,508418.88,155833.03,477980.47,-1096949.6,93683.44,280406.6,772937.25,-270165.0
8253978921385,Jennifer Smith,Segment 5,Garcia-Waters,2682179.5,-734063.94,-960981.25,3571899.8,-4241605.5,169412.19,-587506.44,370231.75,-660915.75
859802564261,Adam Brown,Segment 4,Singh-Reynolds,4067996.8,-98543.88,-206902.34,227810.97,503076.66,-115087.19,3147507.0,-910042.6,27074.406
7778719555977,Shannon Goodwin,Segment 5,Coleman Group,1424567.2,-509438.06,957582.7,414941.56,-44897.25,-332906.62,880554.9,105831.625,-182162.16
3849493725116,Tim Myers,Segment 1,"Wallace, Ayala and Mcguire",-1492264.8,-174780.19,175845.31,-261293.62,1607294.8,117939.625,29947.61,2988752.2,-1087193.4
4722077735789,Leah Gilmore,Segment 4,"Hensley, Padilla and Pearson",1523706.9,19615.594,2458642.0,-31824.305,-4005649.5,-426699.75,48706.375,-1892085.5,1433003.8
9152659832622,Cynthia Cruz,Segment 5,"Baker, Hebert and Cameron",978891.9,-12231.775,-718807.0,646054.8,2445795.2,-113794.625,678879.2,2399456.8,762257.9
8568653222542,Elizabeth Donaldson,Segment 6,Davis Group,-2861029.0,117926.836,349603.25,54292.875,1659842.9,-89133.766,-187279.12,72954.0,1225863.2
7013610800970,Charles Wiggins,Segment 4,Russell and Sons,331475.62,1977037.2,859161.75,-119863.375,-379111.03,-241207.03,-124838.44,3567173.5,-1027390.6
6322323203055,Caitlin Price,Segment 1,Contreras-Gonzales,-4696252.0,835438.5,239745.22,1330116.5,115166.875,-251683.64,1516736.9,-1116470.0,-543248.2
8339603031428,Eric Watts,Segment 2,"Acosta, Mccann and Vaughn",-8320064.0,101789.22,451995.78,-2275742.0,3644691.5,-536671.6,-741117.75,111488.94,-2365116.2
6065443556921,Larry Armstrong,Segment 3,"Nelson, Stanley and Potts",-1291278.5,334028.28,144073.0,150253.77,-1534805.5,139897.84,74989.0,-707611.5,-647066.06
7355020263793,John Jackson,Segment 6,Tucker LLC,-2891143.0,547560.0,-129397.91,464237.5,1196502.5,273867.2,802802.44,1998809.8,25826.906
