year,distributor_id,distributor,segment,company,revenue,new_customers,repeat_customers,requests_for_quotes,months_purchased,contract_renewals,customer_retention,order_value,number_orders,employees,new_customers_impact,repeat_customers_impact,requests_for_quotes_impact,months_purchased_impact,contract_renewals_impact,customer_retention_impact,order_value_impact,number_orders_impact,employees_impact
2022,9279028755679,Richard French,Segment 4,"Rodriguez, Lewis and Merritt",22721001.42722681,0.6,53.3,6.0,8.962240402769035,192.0,1764.0,2012464.9137469348,1757.0,34546.0,-1617808.5,286461.47,-373516.88,-76760.27,231612.4,159814.27,996664.06,-536287.06,1821224.6
2023,3136922806400,Kathleen Cummings,Segment 3,"Hudson, Gonzalez and Mcconnell",3366335.231941554,4.974603569973073,176.24993604854785,6.0,5.903165781062092,234.0,1852.0,160282.6,11339.0,12068.0,-1417731.2,-125336.77,-425190.56,60662.062,424191.94,-255858.75,-646188.4,-40578.223,582782.25
2022,1563120734310,Kevin Lawson,Segment 2,Nichols PLC,6831899.024448933,19.59045378103409,1090.5052504052717,11762.0,6.176899236327764,5.0,1216.0,3500852.0335157365,1757.0,509.0,-1098566.1,-219526.77,77882.38,-166000.72,-1177393.4,-379383.12,1218086.1,-468443.1,-1079481.1
2023,7269623877793,James Diaz MD,Segment 6,"Fisher, Reyes and Scott",4007643.6794354655,33.40370169887277,818.3138349723142,2126.0,6.870717269335779,12.0,1524.0,475011.9578050999,1757.0,13412.0,-1201092.4,107232.18,346679.03,678946.4,-1096070.8,132967.14,286640.88,-575105.0,257402.9
2022,2700623527325,Rebecca Wilson,Segment 3,Harrison and Sons,8978847.293492742,0.6,53.3,3680.0,6.82004987059271,982.0,20416.0,160282.6,1757.0,10498.0,-1544238.2,572876.7,2043557.2,577094.06,3861618.2,57926.332,-838554.06,-664867.94,-239012.5
2022,3683691823935,Ashley Rubio,Segment 3,Brown and Sons,2512873.046806248,0.6,53.3,6.0,7.881948453923564,15.0,54.0,160282.6,1757.0,7659.0,-1162119.8,32775.55,-339052.84,-259299.78,-294918.62,-32958.15,-878966.25,-558451.5,-314397.72
2023,4135293633874,Elizabeth Stone,Segment 4,"Harrison, Powell and Bass",8625581.738014847,73.91140004815149,557.1064504424376,7843.0,6.035610776327848,2874.0,54.0,160282.6,37163.0,509.0,325343.97,334696.03,614716.44,155827.05,249036.67,-74576.88,-561148.1,1159619.1,-682525.1
2022,3604570217584,Jennifer Thomas,Segment 4,Moore Group,1985874.127272452,0.6,296.2993406522853,45.0,5.586398117613049,5.0,17315.0,3493390.9471704885,1757.0,509.0,-1538463.9,-63477.887,-130983.266,218884.66,-997902.6,516346.84,981224.5,-532570.3,-1091724.8
2022,2610180479213,Stephanie Mueller,Segment 5,"Parker, Holt and Smith",1573223.4378055036,0.6,2347.776704990853,212.0,5.513924734544664,5.0,787.0,3268440.213973781,1757.0,23946.0,-1286044.5,459432.72,-436152.28,-360813.16,-1171786.6,-244204.36,591814.44,-595656.4,833506.75
2022,7888191097619,Jordan Lee,Segment 5,Scott and Sons,10757117.269654516,61.70966958907983,998.1417409654248,6.0,6.582374816243813,348.0,20416.0,2894641.1316396887,82042.0,15372.0,1089853.9,-388825.2,-519242.72,-429071.22,1561677.4,-593018.06,-87541.11,3816694.2,3625626.8
2022,1666864537794,Daniel Torres,Segment 5,Johnson Ltd,7004417.057680801,6.475283481258618,1275.159290413395,962.0,6.000591982477829,122.0,20416.0,7123711.539196083,149922.0,17286.0,-2238456.5,-513375.7,-145447.72,-20035.992,111166.625,372861.2,2243032.0,986121.2,1701102.5
2022,641809061498,Elaine Rios,Segment 2,Vargas Group,646463.27849532,74.59822461999647,296.5202298267026,1006.0,6.347024056582278,5.0,6325.0,160282.6,1757.0,12955.0,-53178.746,-344956.03,169837.5,-587074.9,-1689680.4,904422.5,-794755.25,-803108.7,312951.1
2022,3024146005672,Micheal White,Segment 6,"Smith, Perez and Ramirez",646463.27849532,0.6,53.3,71.0,8.614798614893488,5.0,793.0,2430160.101075956,1757.0,8205.0,-1024902.0,166063.42,-277806.5,-152365.42,-1218985.5,-233270.28,149042.28,-590332.4,-127574.2
2022,1933143754730,Paul Cline,Segment 3,"Rhodes, Turner and Arias",14180267.976017196,73.58626077153923,53.3,2312.0,6.50489556828155,575.0,6242.0,160282.6,1757.0,12851.0,221384.9,102104.35,332854.9,-269732.34,1228514.6,785740.2,-881622.94,-1009061.8,188622.88
2023,7900530526496,Monica Richards,Segment 5,Valencia-Fitzgerald,1572060.152272273,42.64320499775695,633.106986260236,1019.0,6.204694074187884,188.0,1647.0,160282.6,45329.0,13871.0,-354227.5,-18353.555,640077.4,-546132.06,-137964.58,-84307.29,-733965.44,2607877.2,621945.0
2023,2955546601335,Jack Perkins,Segment 2,"Ward, Griffin and Cook",6064190.575091676,114.05324287278748,53.3,1670.0,8.862419967819886,91.0,56.0,4076390.7805840536,6681.0,14508.0,1749597.2,-93326.83,139219.4,-184477.66,-60978.773,-567628.5,1676450.2,-711387.4,710503.4
2022,8653626899026,Mrs. Michele Phillips,Segment 2,"Johnson, Thornton and Miller",5246144.070936597,130.827820941531,6326.417724722781,517.0,7.023771970219002,602.0,2209.0,160282.6,1757.0,13934.0,2433805.5,276163.28,-450847.53,1072878.2,653970.06,-356082.9,-1059796.6,-1272393.1,550119.6
2023,6796378963309,Mark Briggs,Segment 5,"Keith, Brown and Velez",45621558.822585,57.32243390044557,616.9094108365482,666.0,6.0718318214091145,482.0,18087.0,160282.6,41900.0,15444.0,2067821.1,401318.94,32004.924,542808.25,2851889.0,795405.6,-949263.8,5337043.0,4645827.0
2022,6186903061912,Gregory Avila MD,Segment 4,Palmer-Allen,12534114.550689876,127.56962643459234,512.491995872901,2122.0,6.373747385237365,1035.0,276.0,160282.6,36933.0,3389.0,2149760.5,634066.7,997120.7,-491532.78,2065927.9,-62385.785,-663837.7,1323585.6,-209628.12
2023,7364687135794,Kimberly Howell,Segment 5,Sanders-Ruiz,7188751.502497949,150.3669836886702,1107.6817775544105,1253.0,6.355380392337114,5.0,6105.0,1677977.567353949,1757.0,509.0,1382198.9,313471.53,1463321.8,-382720.94,-1790373.0,1114834.4,-168521.52,-662808.44,-1199756.2
2022,2992757709313,Kaylee Sharp,Segment 3,Sullivan LLC,6578791.241731297,18.165896812918405,1131.4888850554782,1317.0,5.030087100711742,5.0,9960.0,160282.6,97585.0,9622.0,-2240127.2,-184844.42,1047064.4,2110757.8,-1230622.4,1177587.5,-391377.1,1470212.4,-165431.2
2022,5051532654389,Austin Eaton,Segment 6,Nixon-Lucero,21891017.70303869,170.72824614497955,53.3,111.0,6.112292056520982,928.0,19825.0,807597.9139938757,246735.0,33240.0,2799375.2,746822.9,-560238.3,201651.92,2695752.0,686829.3,340426.03,2361998.2,1978712.5
2022,3373933702318,Anna Martinez,Segment 6,"Sharp, King and Robinson",646463.27849532,0.6,53.3,6.0,5.9812648141012525,358.0,967.0,1475751.6857474465,1757.0,509.0,-1553626.9,81718.2,-481169.5,-79391.62,1134624.6,-360977.2,87892.7,-656745.6,-1321753.0
2023,3338607837475,David Thompson,Segment 2,Molina-Becker,9408895.208112542,83.35969844991735,53.3,2299.0,5.073756768050444,296.0,1259.0,160282.6,17028.0,17000.0,819406.3,333936.78,1342701.1,2207022.5,2625276.5,-74274.96,-642480.5,127691.195,1686760.4
2023,2138699586494,Dustin Moore,Segment 4,Brown Ltd,3123557.897074702,0.6,2675.13639496468,116.0,6.162108549607496,283.0,1572.0,1774138.1418073014,5379.0,14974.0,-1900642.8,-51180.094,-244533.2,583212.44,1273171.0,-50709.98,58423.86,-641778.9,1538038.0
2022,3758735113560,Troy Jones,Segment 1,Perry-Kennedy,646463.27849532,30.05036227192073,3365.801473272939,1025.0,7.405092054972176,5.0,3876.0,160282.6,1757.0,2288.0,-816266.8,384194.5,157031.94,713225.25,-1409566.5,-444486.62,-675859.8,-779723.75,-881603.7
2023,2952822419059,Michael Boyd,Segment 4,"Warren, Abbott and Cooper",6958595.695964545,450.1251505684317,1234.2217049312942,1212.0,6.0461243111655705,919.0,2196.0,160282.6,1757.0,8766.0,4722516.0,1022592.56,3393381.8,382604.97,1129481.9,-330308.47,-2383680.5,-983049.6,-408862.06
2022,3791542075683,Margaret Mitchell,Segment 6,Williams PLC,646463.27849532,56.6771633832919,851.5417775065778,95.0,6.286255368634793,5.0,54.0,197399.1186091809,19310.0,509.0,845076.1,139656.48,-255749.5,-412540.1,-1666224.6,109404.26,-326163.8,311626.28,-871321.0
2023,6926276202280,Erica Morales,Segment 6,Lane Group,646463.27849532,36.95732468065345,153.02254009013723,6.0,8.962240402769035,5.0,54.0,1719873.1359549812,1757.0,1650.0,-262524.25,-203115.31,-162289.36,68081.766,-1768483.8,104967.94,-20195.42,-557467.7,-812582.9
2022,4969001898886,Alan Logan,Segment 6,"Murphy, Barron and Welch",646463.27849532,0.6,648.9258439741407,747.0,6.286110178205393,5.0,54.0,4135507.423285281,1757.0,509.0,-1107878.5,21560.998,-490401.4,-259102.05,-1467265.6,129889.63,1250686.1,-450798.94,-1104511.4
2022,9764211539919,Kristen Fletcher,Segment 2,"Mayer, Davis and Weiss",1947885.36840192,94.4940531283682,1843.0625882190184,3926.0,6.066426673076485,123.0,56.0,160282.6,1757.0,4810.0,2161595.2,-909031.94,438988.9,-602548.75,-18715.676,-516210.12,-674727.1,-886769.7,-326609.9
2022,7474680667052,Daniel Harris,Segment 5,"Ayala, Graham and Sanchez",16913858.07861397,588.663746430626,660.314359335672,1580.0,5.74515448623008,175.0,11649.0,2019360.293794402,38336.0,10540.0,3657418.2,936072.7,1167397.9,30724.887,-64979.22,213170.27,1722083.6,1376532.0,-580604.56
2023,7062071358469,Kevin Vaughn,Segment 2,Huffman-Mckenzie,16881061.35966832,41.18310310190893,1587.5726664918675,6.0,6.288112604787431,85.0,20416.0,18987581.874198608,51035.0,14930.0,-176286.42,-954719.5,182676.42,-384265.47,-425084.12,984278.25,6572706.5,2451589.8,1777660.5
2022,821530022511,Walter Williamson Jr.,Segment 6,Rivera LLC,4067081.989836655,54.85632042463069,155.12018279250202,233.0,6.198230587924032,347.0,54.0,160282.6,1757.0,1672.0,1304526.5,-262683.1,-296736.03,-263849.5,1819630.0,200079.3,-700832.5,-863476.7,-822290.8
2022,6744740404233,Samantha Jackson,Segment 2,West Inc,5993682.777774896,78.39536689003505,53.3,850.0,6.134905044868273,401.0,7994.0,555558.5076494572,1757.0,12452.0,505513.9,145786.31,-469297.84,165264.03,1808641.2,214892.3,-92028.914,-1201719.1,495633.72
2023,3822066778061,Lisa Ramirez,Segment 6,Caldwell-Duncan,646463.27849532,0.6,251.2216334525715,6.0,6.086161679969711,5.0,54.0,160282.6,1757.0,509.0,-1066744.9,-297900.8,-205624.75,-38515.887,-1197519.8,78070.9,-699317.9,-476546.25,-919909.94
2022,5300773576975,Julie Cook,Segment 5,Taylor Ltd,646463.27849532,3.289304729309819,645.0111023479651,878.0,8.813592927633735,5.0,54.0,160282.6,1757.0,509.0,-1042786.0,47311.523,-427348.0,-273308.5,-1318468.9,6392.966,-705417.56,-648639.44,-940602.75
2023,9239226054721,Sarah Blackburn,Segment 5,"Reeves, Gallagher and Cannon",7438307.587004414,38.99720927474655,680.8413769231038,19.0,7.697462695784897,1384.0,8581.0,1598502.425925935,1757.0,14435.0,498572.7,285042.03,-426508.75,-26175.11,1870229.1,-374539.56,-142367.8,-770936.06,694572.4
2022,3151742759712,Debra Armstrong,Segment 6,Shah PLC,6542802.443028301,0.6,1271.5775903871604,140.0,6.156629452034039,5.0,2031.0,2872907.261302321,41854.0,33388.0,-1557159.1,-137259.55,-440371.44,93177.53,-1753800.1,-296517.38,340253.62,2218546.0,1152069.1
2022,8467819097188,Eric Crosby,Segment 5,"Joseph, Colon and Collier",38987815.94788317,219.7897449598873,655.6727822045975,539.0,5.886582189909093,100.0,259.0,10129183.99549012,17793.0,2920.0,6847363.0,811978.2,62030.25,-279387.66,552610.56,-386340.4,7860415.0,648779.44,-1078851.2
2022,3836775823233,Holly Bradley,Segment 4,"Jones, Torres and Chen",9380081.499975406,67.50801607415187,53.3,852.0,6.272386164673714,212.0,54.0,160282.6,1757.0,9340.0,538814.1,44658.293,-227824.73,-276908.1,451226.47,18021.152,-719360.25,-835521.5,-136937.64
2023,6597642364255,Donald Jimenez,Segment 6,Marsh Ltd,4374145.471739546,31.00979969352561,53.3,6.0,6.285301694496486,39.0,54.0,1885725.0567541416,1757.0,1598.0,-709307.25,61241.31,-273231.47,-261302.4,-337189.88,165549.53,162048.05,-492200.03,-870721.9
2022,7391549283188,Anne Reyes,Segment 4,Anderson and Sons,6490816.232035227,7.66055878552374,1146.2886628076417,2009.0,6.552462816215485,347.0,1967.0,1622235.0118362922,17893.0,16363.0,-1959042.2,-353461.62,867459.0,-88306.836,1488120.9,-246951.75,-15190.436,-7083.941,1913684.2
2023,727900381175,Ryan Cross,Segment 5,Oliver-Knight,646463.27849532,0.6,53.3,882.0,8.616051277124576,88.0,7308.0,2026647.463396292,1757.0,10871.0,-1457322.0,194028.95,-552761.9,-340400.22,-293478.97,882687.8,795850.25,-706521.94,88697.36
2023,5250403169865,Curtis Collins,Segment 6,Nguyen-Washington,3937664.223132105,158.86408065463263,1227.143656045465,805.0,6.110388881135946,331.0,8590.0,2914849.643491676,1757.0,13448.0,2067715.4,-356937.97,-565051.5,-122682.88,911801.4,298602.94,238177.25,-975103.3,158105.33
2023,8907782743090,Samuel Porter,Segment 3,Rush LLC,3476312.1425594985,0.6,53.3,6.0,6.200231222782444,297.0,383.0,160282.6,3153.0,509.0,-1492326.9,-63426.773,-419484.84,-215704.03,2232152.2,113038.69,-728615.94,-372610.4,-1031905.56
2023,3295099688254,Kevin Wolfe,Segment 5,Taylor Ltd,5788384.574268839,191.0461435681441,1444.198913519068,6.0,6.064865684157129,5.0,1030.0,3223772.2238427373,48605.0,10213.0,2553004.5,-702072.25,-471059.62,121077.555,-2432676.8,-288275.38,397812.2,3527182.5,-109798.805
2022,2295703746395,Rebecca Frazier,Segment 5,Mcneil Ltd,646463.27849532,0.6,53.3,6.0,5.426725685321246,315.0,54.0,160282.6,23269.0,1602.0,-1465056.4,93294.8,-447339.0,-228778.62,1341054.6,276218.4,-673414.6,871810.1,-909545.3
2022,7948971500828,Johnathan Byrd,Segment 4,Collins-Mcconnell,3574783.506161924,50.86323020620453,53.3,6.0,6.268778512779087,5.0,54.0,160282.6,12121.0,509.0,1098100.0,-21875.129,-276764.4,-436553.12,-1697309.1,70249.84,-712802.4,-4955.488,-865761.75
2023,2264725963417,Kelly Griffin,Segment 4,French Group,7087664.735002177,0.6,1058.9934634029112,6.0,6.3605092703118205,59.0,54.0,301289.61637659173,8308.0,19541.0,-1487149.6,-90179.234,-387625.06,-483795.8,-268785.62,95341.92,-379311.16,-292419.7,671609.25
2023,3505454949280,Mr. Joshua Duncan,Segment 4,"Mcdaniel, Henderson and Lee",646463.27849532,557.5117314076423,308.278513135112,33.0,6.401881076395846,19.0,182.0,160282.6,1757.0,11398.0,-365707.16,-886104.4,-551264.6,-433841.03,95564.59,-84961.09,-1887418.1,-756800.4,-441586.28
2023,7408539603472,Michael Stevens,Segment 5,"Hoffman, Pittman and Mckinney",2128159.1720985724,0.6,53.3,6.0,8.55544454303556,230.0,1689.0,160282.6,1757.0,14676.0,-1297894.2,155672.98,-221437.81,-76858.86,334488.5,75985.64,-793141.0,-764032.2,1056798.9
2023,7647122492851,Nancy Morris,Segment 2,"Simon, Lester and Wong",646463.27849532,73.04864275348794,53.3,6.0,7.467718964518596,29.0,1848.0,1140203.422339183,10698.0,5131.0,836984.1,27958.068,-491672.34,175271.92,671718.25,-124555.336,142265.33,-31004.37,-563980.56
2023,4296087588456,Kevin Norris,Segment 3,Powell Group,5252895.117906593,0.6,53.3,668.0,6.06754119066574,3568.0,1508.0,160282.6,1757.0,28217.0,-1233932.9,422659.94,-462659.78,92755.914,198605.83,61082.582,-926188.6,-566440.75,2052227.2
2023,3250615855183,Thomas Weaver,Segment 5,Harris and Sons,3236840.557602872,0.6,53.3,6.0,6.29984930209559,27.0,54.0,160282.6,1757.0,7397.0,-1280805.6,1365.8553,-321637.94,-375807.5,480375.4,33014.65,-885629.5,-496851.72,-422047.88
2023,7396722594679,Larry Brown,Segment 5,Lewis PLC,5453766.212835707,0.6,877.4896367668854,1224.0,6.203006831907637,329.0,1591.0,160282.6,1757.0,1872.0,-2074147.2,42878.61,1398923.9,-206678.36,1211272.2,138796.7,-741586.6,-587101.56,-1092959.5
2022,8055440650331,Stephen Hamilton,Segment 4,Meadows PLC,8607569.269066362,26.5094263739157,65.5060961053511,2344.0,7.950618044869048,656.0,2557.0,160282.6,1757.0,541.0,-528186.5,52352.395,388164.94,-219296.33,1270711.6,-555893.8,-668113.5,-747885.44,-853004.9
2022,7462869888220,Albert Smith,Segment 5,"Anderson, Stevens and Sullivan",35530769.724334165,79.56339711080683,529.0147513608086,1221.0,6.1310649905137,653.0,1812.0,3644747.611990336,10286.0,14341.0,842291.75,966893.25,2575295.2,366010.72,1462816.5,-193462.72,1712374.2,418436.22,812205.4
2022,4449897803183,Jennifer George,Segment 4,Stewart-Robinson,5121109.297105508,4.727381017440539,720.5568051696481,546.0,6.091475526066928,5.0,7017.0,160282.6,60891.0,10582.0,-1933563.2,-170573.78,147238.4,59113.6,-1694030.1,1633229.6,-877908.5,2464055.0,20643.943
2022,7462823013644,Steven Lucas,Segment 1,Palmer-Davis,4575231.594640466,0.6,53.3,6.0,6.160677225575022,202.0,54.0,160282.6,1757.0,18033.0,-1391787.2,94471.43,-513761.0,560053.7,76439.86,78808.8,-990003.0,-586571.56,796569.25
2023,34641108146,Robert Ford,Segment 2,Smith-Todd,7660364.738270766,67.82840016906698,1389.5470485175026,1378.0,5.837170466647926,5.0,54.0,2884816.369955525,26474.0,7723.0,-100695.71,-518811.44,372922.75,142162.97,-1663856.8,80122.04,15580.684,1815081.9,-393192.94
2023,4784878091570,Deanna Jennings,Segment 6,Edwards-Wood,1881840.5726405005,0.6,53.3,6.0,8.621609528967147,2556.0,54.0,160282.6,1757.0,509.0,-1080285.2,148002.39,-304304.1,-88584.914,369528.66,1765.794,-886480.0,-715562.0,-479164.9
2022,8690587858549,Wendy Garner,Segment 6,Banks-Vega,8972091.495981485,0.6,1235.9662623569086,1145.0,6.048861297653017,556.0,2077.0,3386978.1175405355,1757.0,17026.0,-1628384.2,-65474.39,637934.0,271412.5,723742.25,-385642.7,664982.06,-608847.7,1769740.6
2023,3949408577851,Stephen Robinson,Segment 3,"Patterson, Ware and Marshall",646463.27849532,0.6,244.26199995845,6.0,6.39581447796676,5.0,54.0,160282.6,11288.0,11543.0,-1054273.8,-244010.98,-365711.8,-521725.7,-1201571.0,-21631.502,-796633.4,77046.34,91983.875
2023,2903093666062,Nicholas Garcia,Segment 5,"Fuller, Mcintyre and Miller",646463.27849532,0.6,550.9046436278741,3571.0,6.360085038809705,5.0,152.0,160282.6,1757.0,10202.0,-1107742.2,120310.72,835124.0,-698312.2,-1298694.4,-72394.484,-850382.56,-486137.34,-233162.11
2023,3692146495535,Taylor Smith,Segment 5,Blake-Cooper,19107842.79662625,69.9869350360418,1156.677342635894,1167.0,6.272744820021406,215.0,1676.0,540474.1833152743,1757.0,11531.0,-30072.646,-101811.46,859968.7,-214916.45,336811.62,57898.05,83528.21,-816588.44,-47513.473
2022,6035679675468,Brittany Jackson,Segment 3,Griffith-Doyle,5626218.514264854,121.68228075411938,121.97656317447752,763.0,6.004388569441219,75.0,84.0,160282.6,1757.0,509.0,1729933.9,-454373.06,-547113.06,-106408.45,-80143.414,-389597.34,-658263.75,-820420.94,-1027143.4
2022,7039914405888,Brittney Morrow,Segment 4,"Hill, King and Malone",18250103.85471131,30.56997677966616,53.3,142.0,6.098191968153002,368.0,873.0,3100782.6487850472,1757.0,11491.0,-286692.25,231773.02,-496123.78,76862.33,2276253.8,-323696.16,628381.0,-640079.6,152911.5
2022,7143614716066,Jonathan Christensen,Segment 5,Osborne-Rivera,6324165.397161768,554.9178761334535,53.3,255.0,5.570894760364496,316.0,1728.0,160282.6,1757.0,509.0,-397927.6,-705384.5,-682386.25,169800.66,921078.7,78277.62,-1526086.2,-921869.3,-1462213.0
2022,1931511606643,Mary Hicks,Segment 5,Weaver PLC,3794852.049670282,20.855130559731474,553.5441302227125,3227.0,6.331466281752153,2314.0,1241.0,160282.6,82770.0,5220.0,-2274295.2,-125037.27,822039.7,-832333.6,60943.09,-181771.69,-784710.2,1885061.9,-468150.66
2022,9024212902618,Samantha White,Segment 6,Lee-Clarke,27323761.1189974,80.9125499233653,1239.4472545597605,991.0,7.184606277317284,691.0,7579.0,503079.4828190408,101866.0,24410.0,1467789.9,113261.79,630540.75,1347833.1,2086387.1,980414.44,1290553.5,4177750.5,1042019.25
2023,4415674392911,Gina Ramirez,Segment 3,Dickerson-Lee,2213140.0212053293,0.6,909.8214359599287,2820.0,6.327381582272542,416.0,1712.0,160282.6,1757.0,12273.0,-1598868.8,-66944.29,793691.56,-374353.47,1572217.5,23772.25,-740840.3,-701828.2,211555.23
2022,9821602217945,Timothy Lopez,Segment 4,Rhodes Inc,6623188.480763106,0.6,3875.2257687551055,469.0,6.331696483152137,94.0,7228.0,2125955.3337653936,4418.0,8954.0,-1811600.2,764371.56,-60750.38,-199453.66,-128750.32,1153150.1,1191859.4,-620092.25,-175438.17
2022,2808874452684,Roy Carr,Segment 5,Jones-Peterson,20519549.039069194,0.6,53.3,546.0,8.194709167871471,385.0,1474.0,2149291.858918523,1757.0,9231.0,-1684876.5,188133.42,-127777.24,-108519.25,2122251.0,-5912.984,1243394.8,-803484.44,-213484.27
2023,8889153092122,Lisa Arroyo,Segment 5,Johnson-Kim,1154266.147411617,288.456608295313,361.850215052652,6.0,7.449095737496222,219.0,12339.0,160282.6,28603.0,10829.0,408505.2,-698003.75,-784253.2,249379.08,726031.9,165749.36,-2036111.5,1378539.1,-336509.03
2023,8282634477744,Brian Hernandez,Segment 6,Richardson Group,1763198.179914191,66.24794270873694,399.275691584869,733.0,5.908208702380649,365.0,904.0,160282.6,14120.0,509.0,700664.9,38447.723,-289752.5,-155063.11,2214847.0,-343622.4,-426211.94,360968.66,-1299032.8
2022,2591738795248,Jamie Adams,Segment 4,"Freeman, Gill and Goodwin",10214767.110155642,155.03189097839248,1065.1461873819069,6.0,6.860762668196673,89.0,1816.0,2161124.33472916,40751.0,16137.0,2485296.0,-148680.44,-529693.4,1185002.1,-260586.53,-96648.13,1298715.4,1926748.4,1623914.9
